No,Date,First,FirstPrize,Second,SecondPrize,Third,ThirdPrize,Fourth,FourthPrize,Fifth,FifthPrize,X1,X2,X3,X4,X5,X6,Bonus
62,20040207,1,15817286400,22,119827900,829,3179900,41686,126400,700804,10000,3,8,15,27,29,35,21
63,20040214,2,7922245500,26,101567200,824,3204700,41505,127200,712954,10000,3,20,23,36,38,40,5
64,20040221,4,3899818000,11,236352600,651,3993600,37117,140000,654379,10000,14,15,18,21,26,36,39
65,20040228,4,3727945800,27,92048000,1003,2477800,52556,94500,848960,10000,4,25,33,36,40,43,39
66,20040306,4,3685138200,19,129303000,786,3125600,40188,122200,712181,10000,2,3,7,17,22,24,45
67,20040313,7,2114436500,62,39787700,972,2537900,46740,105500,748901,10000,3,7,10,15,36,38,33
68,20040320,5,2945882100,20,122745000,754,3255800,43265,113400,735760,10000,10,12,15,16,26,39,38
69,20040327,3,4962712200,20,124067800,766,3239300,41220,120300,704209,10000,5,8,14,15,19,39,35
70,20040403,3,5031277800,14,179688400,717,3508500,36781,136700,645990,10000,5,19,22,25,28,43,26
71,20040410,0,0,28,88745200,782,3177500,39516,125700,659631,10000,5,9,12,16,29,41,21
72,20040417,13,3260524600,44,104081800,2510,1824500,113994,80300,1702959,10000,2,4,11,17,26,27,1
73,20040424,6,2766662100,26,106410000,1363,2029800,55608,99500,865131,10000,3,12,18,32,40,43,38
74,20040501,3,5284949800,40,66061800,1021,2588100,48438,109100,802633,10000,6,15,17,18,35,40,23
75,20040508,4,3914616900,19,137354900,817,3194300,40782,127900,697174,10000,2,5,24,32,34,44,28
76,20040515,2,7451022600,17,146098400,840,2956700,44504,111600,770522,10000,1,3,15,22,25,37,43
77,20040522,3,5155758600,19,135677800,713,3615500,37033,139200,643154,10000,2,18,29,32,43,44,37
78,20040529,4,3519850000,22,106662100,910,2578600,42450,110500,716323,10000,10,13,25,29,33,35,38
79,20040605,4,3416443800,31,73471910,1196,1904373,49431,92154,741871,10000,3,12,24,27,30,32,14
80,20040612,1,13809540000,16,143849375,868,2651602,40251,114362,706432,10000,17,18,24,25,26,30,1
81,20040619,5,2714288880,20,113095370,1046,2162436,51654,87580,787258,10000,5,7,11,13,20,33,6
82,20040626,1,14562494400,20,121354120,637,3810177,36139,134320,638058,10000,1,2,3,14,27,42,39
83,20040703,2,7086948300,15,157487740,851,2775930,45924,102880,763287,10000,6,10,15,17,19,34,14
84,20040710,2,7669779000,17,150387824,635,4026131,32402,157805,582445,10000,16,23,27,34,42,45,11
85,20040717,4,3462109800,31,74453975,823,2804464,41746,110577,664492,10000,6,8,13,23,31,36,21
86,20040724,1,14252186400,16,148460275,611,3887667,35057,135515,616434,10000,2,12,37,39,41,45,33
87,20040731,11,1799358055,33,99964337,1250,2639059,54768,120466,890859,10000,4,12,16,23,34,43,26
88,20040807,4,3069709650,31,66015262,1183,1729902,64639,63321,1098115,5000,1,17,20,24,30,41,27
89,20040814,3,4248321900,30,70805365,1340,1585195,72667,58463,1261896,5000,4,26,28,29,33,40,37
90,20040821,4,3291435300,34,64537948,1297,1691820,67888,64645,1160774,5000,17,20,29,35,38,44,10
91,20040828,4,3582902400,32,74643800,1205,1982242,64183,74431,1128902,5000,1,21,24,26,29,42,27
92,20040904,11,1233270846,50,45219931,1623,1393098,79319,57011,1307607,5000,3,14,24,33,35,36,17
93,20040911,6,2269178150,26,87276083,1462,1552106,68597,66160,1185275,5000,6,22,24,36,38,44,19
94,20040918,6,2245339950,38,59087894,1353,1659527,71106,63155,1223793,5000,5,32,34,40,41,45,6
95,20040925,8,1747741238,48,48548368,1728,1348566,82432,56540,1347106,5000,8,17,27,31,34,43,14
96,20041002,7,1847133515,38,56710240,1197,1800326,65301,66002,1111779,5000,1,3,8,21,22,31,20
97,20041009,9,1496214000,46,48789587,1543,1454518,77227,58123,1282678,5000,6,7,14,15,20,36,3
98,20041016,4,3177972300,45,47081072,1880,1126941,87818,48251,1385812,5000,6,9,16,23,24,32,43
99,20041023,6,2169219050,40,54230477,1581,1372056,77203,56196,1282311,5000,1,3,10,27,29,37,11
100,20041030,4,3315315525,36,61394732,1544,1431484,76899,57484,1235777,5000,1,7,11,23,37,42,6
101,20041106,5,2707297500,38,59370560,1405,1605752,73210,61634,1246344,5000,1,3,17,32,35,45,8
102,20041113,9,1457153067,24,91072067,1352,1616664,75476,57919,1322337,5000,17,22,24,26,35,40,42
